Entry ID,Entry JP Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str
36,カトラスダンス,6,Neutral,200,0b0010,"",X,"",0,Damage,3,Single EC,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337cb0,100,"ダンスのように軽快なリズムでカトラスを振り回し、
敵単体に大ダメージを与える乱舞技だ。　消費Ｇ＝７"
37,エアロスマッシュ,6,Neutral,202,0b0010,"",X,"",0,Damage,4,All ECs,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337d14,100,"空高く跳んだヴァイスが、無数のカマイタチを放ち、
敵全体にダメージを与える。　　　　　　消費Ｇ＝14"
38,ジョリーロジャー,6,Neutral,204,0b0010,"",X,"",0,Damage,3,Single EC,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337d78,96,"カトラスからの電撃で、敵単体を空間に縛り付け、
天空からＸ状に斬り裂き超絶ダメージ!!　消費Ｇ＝21"
39,オメガサイクロン,1,Red,214,0b0010,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337dd8,100,"大地を切り取り敵の退路を断ち、灼熱のブーメランで
敵全体に絶大なダメージを与える。　　　消費Ｇ＝12"
40,アルファストーム,1,Red,210,0b0010,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337e3c,92,"高速回転するブーメランから炎がほとばしり、
敵単体とその周辺にダメージを与える。　消費Ｇ＝４"
41,ラムダバースト,1,Red,212,0b0010,"",X,"",0,Damage,4,All ECs,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337e98,96,"炎のブーメランが大地を十字に斬り裂き、吹き出す
爆炎が敵全体に大ダメージを与える。　　消費Ｇ＝８"
42,月の封印,5,Silver,221,0b0010,"",X,"",8,Stone + Damage,3,Single EC,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337ef8,100,"銀の月の力を借りて、敵単体にダメージを与えた上、
極めて高い確率で石化させてしまう。　　消費Ｇ＝３"
43,月の波動,5,Silver,223,0b0010,"",X,"",17,Rem Pos States + Damage,4,All ECs,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337f5c,100,"巨大化したキュピルが、銀のブレスで敵全体の有利な
状態を無効化し、かつダメージを与える。消費Ｇ＝６"
44,噴！,6,Neutral,230,0b0010,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x337fc0,92,"鬼のようにパワーをためた義手で、敵単体を
力任せに殴り付けてダメージを与える。　消費Ｇ＝10"
45,滅！,6,Neutral,232,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x33801c,100,"大地を隆起させ、落雷を呼び寄せ、巨大化した義手で
敵単体を叩き潰す。即死の効果もある。　消費Ｇ＝25"
46,ミル・エスパーダ,6,Neutral,240,0b0010,"",X,"",0,Damage,37,EC Ray S3,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338080,100,"敵単体を一瞬で４回斬り付ける技。あまりの速さに、
残像で動きがスローモーションに見える。消費Ｇ＝８"
